res_15_gp_id,block,gp,district,merge10gp
2455,tanda,govardhanpur,ambedkar nagar,0
2464,tanda,janardanpur,ambedkar nagar,0
2467,tanda,jot afjal,ambedkar nagar,0
2469,tanda,kajipur,ambedkar nagar,0
2474,tanda,keshavpur,ambedkar nagar,0
2486,tanda,makhdoom sarai,ambedkar nagar,0
2488,tanda,miranpur babhanpura,ambedkar nagar,0
2489,tanda,miranpur sadahali,ambedkar nagar,0
2494,tanda,mustafabad,ambedkar nagar,0
2495,tanda,nandapur,ambedkar nagar,0
2504,tanda,pipari mohammadi,ambedkar nagar,0
2507,tanda,piyarepur dwitiya,ambedkar nagar,0
2509,tanda,purabaxrai,ambedkar nagar,0
2515,tanda,rudrapur bhagaahi,ambedkar nagar,0
2524,tanda,trilokpur,ambedkar nagar,0
2528,amethi,agar,amethi,0
2529,amethi,bahapur,amethi,0
2530,amethi,bariyapur,amethi,0
2531,amethi,benipur,amethi,0
2532,amethi,bhaganpur,amethi,0
2533,amethi,bhusahari,amethi,0
2534,amethi,chaturbhujpur,amethi,0
2535,amethi,dandoopur,amethi,0
2536,amethi,darkha,amethi,0
2537,amethi,debpasaar,amethi,0
2538,amethi,dehra,amethi,0
2539,amethi,gaderi,amethi,0
2540,amethi,gangauli,amethi,0
2541,amethi,ghaghughaar,amethi,0
2542,amethi,hathkila,amethi,0
2543,amethi,himmatgarh,amethi,0
2544,amethi,jangalramnagar,amethi,0
2545,amethi,kakwa,amethi,0
2546,amethi,katramahraani,amethi,0
2547,amethi,katraphulkunwar,amethi,0
2548,amethi,kherona,amethi,0
2549,amethi,koharaa,amethi,0
2550,amethi,korarigiradharshah,amethi,0
2551,amethi,kushitali,amethi,0
2552,amethi,loharta,amethi,0
2553,amethi,loniapur,amethi,0
2554,amethi,mahamadpur,amethi,0
2555,amethi,mahamudpur,amethi,0
2556,amethi,mahaso,amethi,0
2557,amethi,mahraajpur,amethi,0
2558,amethi,mochava,amethi,0
2559,amethi,nainhavartalee,amethi,0
2560,amethi,naraini,amethi,0
2561,amethi,nuvaavan,amethi,0
2562,amethi,parasaavaan,amethi,0
2563,amethi,purbgaanv,amethi,0
2564,amethi,raipur phulwari,amethi,0
2565,amethi,rajapur koharaa,amethi,0
2566,amethi,ramdipur,amethi,0
2567,amethi,ramgarh,amethi,0
2568,amethi,raydepur,amethi,0
2569,amethi,rebha,amethi,0
2570,amethi,saidpur,amethi,0
2571,amethi,saraikhema,amethi,0
2572,amethi,saraiyaduban,amethi,0
2573,amethi,sarvanpur,amethi,0
2574,amethi,taala,amethi,0
2575,amethi,trilokpur,amethi,0
2576,amethi,umapurganapattee,amethi,0
2577,amethi,viyasia,amethi,0
2578,bahadurpur,baghel,amethi,0
2579,bahadurpur,bahadurpur,amethi,0
2580,bahadurpur,basauni,amethi,0
2581,bahadurpur,behata murtaja,amethi,0
2582,bahadurpur,bhadaiya mahamudpur,amethi,0
2583,bahadurpur,bojhi bhuulaamau,amethi,0
2584,bahadurpur,brimhani,amethi,0
2585,bahadurpur,faridpur paravar,amethi,0
2586,bahadurpur,fatehpur mawauya,amethi,0
2587,bahadurpur,jamalpur rampur,amethi,0
2588,bahadurpur,kasimpur,amethi,0
2589,bahadurpur,kesaria salimpur,amethi,0
2590,bahadurpur,khalispur,amethi,0
2591,bahadurpur,kharoli,amethi,0
2592,bahadurpur,kherahana,amethi,0
2593,bahadurpur,kisunpur kewai,amethi,0
2594,bahadurpur,kotarwarmau,amethi,0
2595,bahadurpur,mahamadpur,amethi,0
2596,bahadurpur,mawai alampur,amethi,0
2597,bahadurpur,mohaia kesaria,amethi,0
2598,bahadurpur,mohana,amethi,0
2599,bahadurpur,mubarakapur mukhetiya,amethi,0
2600,bahadurpur,nabawan,amethi,0
2601,bahadurpur,nakdeiapur,amethi,0
2602,bahadurpur,nigoha,amethi,0
2603,bahadurpur,odaari,amethi,0
2604,bahadurpur,peedhee,amethi,0
2605,bahadurpur,puurevaderoy,amethi,0
2606,bahadurpur,sambasi,amethi,0
2607,bahadurpur,sarai mahesha,amethi,0
2608,bahadurpur,sarwan,amethi,0
2609,bahadurpur,taruna,amethi,0
2610,bahadurpur,tendua,amethi,0
2611,bahadurpur,udwa,amethi,0
